0000000168	5422692744	PODLASKIE STOWARZYSZENIE POMOCY DZIECIOM Z PORAŻENIEM MÓZGOWYM ''JASNY CEL''	PODLASKIE	M. BIAŁYSTOK	M. BIAŁYSTOK	BIAŁYSTOK
0000000291	5422697397	FUNDACJA NA RZECZ POMOCY DZIECIOM Z GRODZIEŃSZCZYZNY	PODLASKIE	M. BIAŁYSTOK	M. BIAŁYSTOK	BIAŁYSTOK
0000000525	5422698451	FUNDACJA ''ADAMA''	MAZOWIECKIE	M.ST. WARSZAWA	M.ST. WARSZAWA	WARSZAWA
0000000650		RYBNICKI KLUB PIŁKARSKI SZKÓŁKA PIŁKARSKA ROW W RYBNIKU	ŚLĄSKIE	M. RYBNIK	M. RYBNIK	RYBNIK
0000000668	6331000451	GÓRNICZY KLUB SPORTOWY ''PNIÓWEK 74'' W PAWŁOWICACH ŚLĄSKICH	ŚLĄSKIE	PSZCZYŃSKI	PAWŁOWICE	PAWŁOWICE ŚLĄSKIE
0000000715		GLIWICKI KLUB KARATE KYOKUSHIN	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000000898	8130268550	ZAKŁADOWY KLUB SPORTOWY ''STAL'' RZESZÓW	PODKARPACKIE	M. RZESZÓW	M. RZESZÓW	RZESZÓW
0000000963	7491899923	STOWARZYSZENIE NA RZECZ ROZWOJU WSI MECHNICA	OPOLSKIE	KĘDZIERZYŃSKO-KOZIELSKI	REŃSKA WIEŚ	MECHNICA
0000001005		LUDOWY KLUB SPORTOWY ''BUK'' RUDY Z SIEDZIBĄ W RUDACH	ŚLĄSKIE	RACIBORSKI	KUŹNIA RACIBORSKA	RUDY
0000001106		STOWARZYSZENIE SPORTU OSÓB NIEPEŁNOSPRAWNYCH ''SSON''	ŚLĄSKIE	RACIBORSKI	RACIBÓRZ	RACIBÓRZ
0000001122		LUDOWY KLUB SPORTOWY ''RÓJ'' W ŻORACH	ŚLĄSKIE	M. ŻORY	M. ŻORY	ŻORY
0000001164		MIEJSKI KLUB SZACHOWY RYBNIK Z SIEDZIBĄ W RYBNIKU	ŚLĄSKIE	M. RYBNIK	M. RYBNIK	RYBNIK
0000001304		ELBLĄSKIE STOWARZYSZENIE ORGANIZATORÓW POMOCY SPOŁECZNEJ W ELBLĄGU	WARMIŃSKO-MAZURSKIE	M. ELBLĄG	M. ELBLĄG	ELBLĄG
0000001314		KLUB REKREACYJNO-SPORTOWY TOWARZYSTWA KRZEWIENIA KULTURY FIZYCZNEJ ''RYBNICKA AMATORSKA LIGA PIŁKARSKA - ROW''	ŚLĄSKIE	M. RYBNIK	M. RYBNIK	RYBNIK
0000001330	6452255144	TOWARZYSTWO SPORTOWE ''ISKRA'' LASOWICE Z SIEDZIBĄ W TARNOWSKICH GÓRACH	ŚLĄSKIE	TARNOGÓRSKI	TARNOWSKIE GÓRY	TARNOWSKIE GÓRY
0000001366		EWANGELICKIE TOWARZYSTWO EDUKACYJNE W GLIWICACH	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000001446	6312197872	GLIWICKIE TOWARZYSTWO KOSZYKÓWKI Z SIEDZIBĄ W GLIWICACH	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000001450	6412032461	GÓRNICZY KLUB SPORTOWY ''URANIA'' PRZY KOPALNI WĘGLA KAMIENNEGO ''POLSKA - WIREK''	ŚLĄSKIE	M. RUDA ŚLĄSKA	M. RUDA ŚLĄSKA	RUDA ŚLĄSKA - KOCHŁOWICE
0000001451	6310212389	KLUB SPORTOWY ''CARBO-GLIWICE'' W GLIWICACH	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000001456	6312179615	DOM WSPÓŁPRACY POLSKO-NIEMIECKIEJ Z SIEDZIBĄ W GLIWICACH	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000001509	6471476662	LUDOWY KLUB SPORTOWY ''START'' MSZANA W MSZANIE	ŚLĄSKIE	WODZISŁAWSKI	MSZANA	MSZANA
0000001575	6331730959	JASTRZĘBSKI KLUB HOKEJOWY GKS JASTRZĘBIE	ŚLĄSKIE	M. JASTRZĘBIE-ZDRÓJ	M. JASTRZĘBIE-ZDRÓJ	JASTRZĘBIE-ZDRÓJ
0000001638		STOWARZYSZENIE UCZNIOWSKIEGO KLUBU SPORTOWEGO ''ŚLĄSK'' W ZABRZU	ŚLĄSKIE	M. ZABRZE	M. ZABRZE	ZABRZE
0000001666	6472227903	SIATKARSKI KLUB GÓRNIK RADLIN Z SIEDZIBĄ W RADLINIE	ŚLĄSKIE	WODZISŁAWSKI	RADLIN	RADLIN
0000001676		STOWARZYSZENIE KULTURY ZIEMI RACIBORSKIEJ ''ŹRÓDŁO''	ŚLĄSKIE	RACIBORSKI	RACIBÓRZ	RACIBÓRZ
0000001693	6412215500	STOWARZYSZENIE REKREACYJNO-SPORTOWE ''GWIAZDA'' RUDA ŚLĄSKA	ŚLĄSKIE	M. RUDA ŚLĄSKA	M. RUDA ŚLĄSKA	RUDA ŚLĄSKA
0000001715		STOWARZYSZENIE ''SERDECZNI'' Z SIEDZIBĄ W TARNOWSKICH GÓRACH	ŚLĄSKIE	TARNOGÓRSKI	TARNOWSKIE GÓRY	TARNOWSKIE GÓRY
0000001767		''BOKSERSKI KLUB SPORTOWY JASTRZĘBIE''	ŚLĄSKIE	M. JASTRZĘBIE-ZDRÓJ	M. JASTRZĘBIE-ZDRÓJ	JASTRZĘBIE-ZDRÓJ
0000001812		STOWARZYSZENIE PROFILAKTYKI I WSPIERANIA ROZWOJU OSOBOWOŚCI DZIECI I MŁODZIEŻY ''WZRASTANIE'' Z SIEDZIBĄ W PRZEMYŚLU	PODKARPACKIE	M. PRZEMYŚL	M. PRZEMYŚL	PRZEMYŚL
0000001816		TURYSTYCZNY KLUB ŻEGLARSKI ''KLAR'' Z SIEDZIBĄ W ZABRZU	ŚLĄSKIE	M. ZABRZE	M. ZABRZE	ZABRZE
0000001834		STOWARZYSZENIE PRZYJACIÓŁ CHORYCH ''HOSPICJUM'' W GLIWICACH	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000001895		TOWARZYSTWO SPOŁECZNO-KULTURALNE NIEMCÓW WOJEWÓDZTWA ŚLĄSKIEGO W RACIBORZU	ŚLĄSKIE	RACIBORSKI	RACIBÓRZ	RACIBÓRZ
0000001950		KLUB INNER WHEEL W LUBLINIE	LUBELSKIE	M. LUBLIN	M. LUBLIN	LUBLIN
0000001971		FUNDACJA GIMNAZJUM I LICEUM AKADEMICKIE	KUJAWSKO-POMORSKIE	M. TORUŃ	M. TORUŃ	TORUŃ
0000002043		BRANIEWSKIE STOWARZYSZENIE ABSTYNENCKIE	WARMIŃSKO-MAZURSKIE	BRANIEWSKI	BRANIEWO	BRANIEWO
0000002098	6471000942	TOWARZYSTWO MIŁOŚNIKÓW RYDUŁTÓW W RYDUŁTOWACH	ŚLĄSKIE	WODZISŁAWSKI	RYDUŁTOWY	RYDUŁTOWY
0000002116		SOSNOWIECKIE STOWARZYSZENIE AMAZONEK ''ŻYCIE''	ŚLĄSKIE	M. SOSNOWIEC	M. SOSNOWIEC	SOSNOWIEC
0000002143		LUDOWY KLUB SPORTOWY ''STRZELEC'' RZUCHÓW Z SIEDZIBĄ W RZUCHOWIE	ŚLĄSKIE	RACIBORSKI	KORNOWAC	RZUCHÓW
0000002148	7772583838	''FUNDACJA IM. JACKA PONICKIEGO''	WIELKOPOLSKIE	M. POZNAŃ	M. POZNAŃ	POZNAŃ
0000002163		FUNDACJA NA RZECZ LUDZI OSAMOTNIONYCH ''SREBRNE LATA''	WIELKOPOLSKIE	M. POZNAŃ	M. POZNAŃ	POZNAŃ
0000002168		HOSPICJUM IM. ŚW. JÓZEFA.ZESPÓŁ OPIEKI PALIATYWNEJ W RACIBORZU	ŚLĄSKIE	RACIBORSKI	RACIBÓRZ	RACIBÓRZ
0000002188		STOWARZYSZENIE AMAZONEK POWIATU MIELECKIEGO	PODKARPACKIE	MIELECKI	MIELEC	MIELEC
0000002344		GLIWICKIE TOWARZYSTWO SZKOLNE IM. JANUSZA KORCZAKA W GLIWICACH	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000002402		KLUB SPORTOWY ''KODOKAN''	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000002406	7411883789	KLUB ŻEGLARSKI OSTRÓDA	WARMIŃSKO-MAZURSKIE	OSTRÓDZKI	OSTRÓDA	OSTRÓDA
0000002503		KLUB ŻEGLARSKI ''ORKAN''	PODKARPACKIE	MIELECKI	MIELEC	MIELEC
0000002518	7542683789	POLSKI ZWIĄZEK GŁUCHYCH ODDZIAŁ OPOLSKI	OPOLSKIE	M. OPOLE	M. OPOLE	OPOLE
0000002521	6472205020	LUDOWY KLUB SPORTOWY ''SKRBEŃSKO'' Z SIEDZIBĄ W SKRBEŃSKU	ŚLĄSKIE	WODZISŁAWSKI	GODÓW	SKRBEŃSKO
0000002588		LUDOWY KLUB SPORTOWY ''VICTORIA'' PILCHOWICE ORGANIZACJA POŻYTKU PUBLICZNEGO	ŚLĄSKIE	GLIWICKI	PILCHOWICE	PILCHOWICE
0000002635		STOWARZYSZENIE MUZYCZNE ''AKOLADA''	WIELKOPOLSKIE	M. POZNAŃ	M. POZNAŃ	POZNAŃ
0000002643	6311079194	SPOŁECZNY KOMITET POMOCY OSOBOM NIEPEŁNOSPRAWNYM	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000002664	4990284167	BANK ŻYWNOŚCI W NOWYCH BIELICACH	ZACHODNIOPOMORSKIE	KOSZALIŃSKI	BIESIEKIERZ	NOWE BIELICE
0000002676		OCHOTNICZA STRAŻ POŻARNA W SIEDLISKACH	ŚLĄSKIE	RACIBORSKI	KUŹNIA RACIBORSKA	SIEDLISKA
0000002681		RUDZKIE KONTO POMOCY	ŚLĄSKIE	M. RUDA ŚLĄSKA	M. RUDA ŚLĄSKA	RUDA ŚLĄSKA
0000002790		TOWARZYSTWO ''SPRAWNI INACZEJ''	ŚLĄSKIE	M. JASTRZĘBIE-ZDRÓJ	M. JASTRZĘBIE-ZDRÓJ	JASTRZĘBIE-ZDRÓJ
0000002803		FUNDACJA NA RZECZ HEMATOLOGII	KUJAWSKO-POMORSKIE	M. TORUŃ	M. TORUŃ	TORUŃ
0000002838		OCHOTNICZA STRAŻ POŻARNA GŁOŻYNY W RADLINIE	ŚLĄSKIE	WODZISŁAWSKI	RADLIN	RADLIN -GŁOŻYNY
0000002841		STOWARZYSZENIE RODZIN KATOLICKICH DIECEZJI GLIWICKIEJ W GLIWICACH	ŚLĄSKIE	M. GLIWICE	M. GLIWICE	GLIWICE
0000002928	6172013836	JAROCIŃSKIE STOWARZYSZENIE EDUKACYJNE	WIELKOPOLSKIE	JAROCIŃSKI	JAROCIN	JAROCIN
0000002929		BRACTWO KURKOWE MIASTA RUDA ŚLĄSKA W RUDZIE ŚLĄSKIEJ	ŚLĄSKIE	M. RUDA ŚLĄSKA	M. RUDA ŚLĄSKA	RUDA ŚLĄSKA
